Opponent,Route,Pokémon,Level,Attack 1,Attack 2,Attack 3,Attack 4,IVS,EVS,Nature
Lass Sally,Route 3,Rattata,10,Tackle,Tail Whip,Quick Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Sally,,Nidoran F,10,Growl,Scratch,Tail Whip,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher James,Route 3,Caterpie,11,Tackle,String Shot,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher James,,Metapod,11,Harden,,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Youngster Calvin,Route 3,Spearow,14,Peck,Growl,Leer,Fury Attack,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Robin,Route 3,Jigglypuff,14,Sing,Defense Curl,Pound,Disable,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Iris,Mt. Moon,Clefairy,14,Growl,Encore,Sing,Double Slap,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Kent,Mt. Moon,Weedle,11,Poison Sting,String Shot,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Kent,,Kakuna,11,Harden,,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Super Nerd Jovan,Mt. Moon,Magnemite,11,Metal Sound,Tackle,Thunder Shock,Supersonic,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Super Nerd Jovan,,Voltorb,11,Charge,Tackle,Screech,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Robby,Mt. Moon,Caterpie,10,Tackle,String Shot,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Robby,,Metapod,10,Harden,,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Robby,,Caterpie,10,Tackle,String Shot,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Miriam,Mt. Moon,Oddish,11,Absorb,Sweet Scent,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Miriam,,Bellsprout,11,Vine Whip,Growth,Wrap,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 1,Mt. Moon,Sandshrew,11,Scratch,Defense Curl,Sand Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 1,,Rattata,11,Tackle,Tail Whip,Quick Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 1,,Zubat,11,Leech Life,Astonish,Supersonic,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 2,Mt.Moon,Zubat,11,Leech Life,Astonish,Supersonic,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 2,,Ekans,11,Wrap,Leer,Poison Sting,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Youngster Josh,Mt. Moon,Rattata,10,Tackle,Tail Whip,Quick Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Youngster Josh,,Rattata,10,Tackle,Tail Whip,Quick Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Youngster Josh,,Zubat,10,Leech Life,Astonish,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Hiker Marcos,Mt. Moon,Geodude,10,Tackle,Defense Curl,Mud Sport,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Hiker Marcos,,Geodude,10,Tackle,Defense Curl,Mud Sport,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Hiker Marcos,,Onix,10,Tackle,Screech,Bind,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 3,Mt. Moon,Rattata,13,Tackle,Tail Whip,Quick Attack,Hyper Fang,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 3,,Sandshrew,13,Scratch,Defense Curl,Sand Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 4,Mt. Moon,Rattata,13,Tackle,Tail Whip,Quick Attack,Hyper Fang,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Team Rocket Grunt 4,,Zubat,13,Leech Life,Astonish,Supersonic,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Super Nerd Miguel,Mt. Moon,Grimer,12,Poison Gas,Pound,Harden,Disable,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Super Nerd Miguel,,Voltorb,12,Charge,Tackle,Screech,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Super Nerd Miguel,,Koffing,12,Poison Gas,Tackle,Smog,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Bulbasaur),Cerulean City,Pidgeotto,17,Tackle,Sand Attack,Gust,Quick Attack,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Bulbasaur),,Abra,16,Teleport,,,,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Bulbasaur),,Rattata,15,Tackle,Tail Whip,Quick Attack,,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Bulbasaur),,Charmander,18,Metal Claw,Ember,Growl,Scratch,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Squirtle),Cerulean City,Pidgeotto,17,Tackle,Sand Attack,Gust,Quick Attack,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Squirtle),,Abra,16,Teleport,,,,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Squirtle),,Rattata,15,Tackle,Tail Whip,Quick Attack,,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Squirtle),,Bulbasaur,18,Sleep Powder,Poison Powder,Vine Whip,Leech Seed,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Charmander),Cerulean City,Pidgeotto,17,Tackle,Sand Attack,Gust,Quick Attack,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Charmander),,Abra,16,Teleport,,,,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Charmander),,Rattata,15,Tackle,Tail Whip,Quick Attack,,"{""hp"": 6, ""atk"": 6, ""def"": 6, ""spa"": 6, ""spd"": 6, ""spe"": 6}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
24 Rival(Charmander),,Squirtle,18,Tackle,Tail Whip,Withdraw,Water Gun,"{""hp"": 12, ""atk"": 12, ""def"": 12, ""spa"": 12, ""spd"": 12, ""spe"": 12}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Cale,Route 24,Caterpie,10,Tackle,String Shot,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Cale,,Weedle,10,Poison Sting,String Shot,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Cale,,Metapod,10,Harden,,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Bug Catcher Cale,,Kakuna,10,Harden,,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Ali,Route 24,Pidgey,12,Tackle,Sand Attack,Gust,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Ali,,Oddish,12,Absorb,Sweet Scent,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Ali,,Bellsprout,12,Vine Whip,Growth,,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Youngster Timmy,Route 24,Sandshrew,14,Scratch,Defense Curl,Sand Attack,,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Youngster Timmy,,Ekans,14,Wrap,Leer,Poison Sting,Bite,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
Lass Reli,Route 24,Nidoran M,16,Leer,Peck,Focus Energy,Double Kick,"{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}","{""hp"": 0, ""atk"": 0, ""def"": 0, ""spa"": 0, ""spd"": 0, ""spe"": 0}",Hardy
