pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,gender_threshold
25,Pikachu,electric,none,35,55,40,50,50,90,"['Static', 'Lightningrod']",127
26,Raichu,electric,electric,60,85,50,95,85,110,"['Static', 'Lightningrod', 'Surge Surfer']",127
27,Sandshrew,ground,ice,50,75,90,10,35,40,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",127
28,Sandslash,ground,ice,75,100,120,25,65,65,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",127
29,Nidoran♀,poison,none,55,47,52,40,40,41,"['Poison Point', 'Rivalry', 'Hustle']",254
30,Nidorina,poison,none,70,62,67,55,55,56,"['Poison Point', 'Rivalry', 'Hustle']",254
31,Nidoqueen,poison,ground,90,92,87,75,85,76,"['Poison Point', 'Rivalry', 'Sheer Force']",254
32,Nidoran♂,poison,none,46,57,40,40,40,50,"['Poison Point', 'Rivalry', 'Hustle']",0
33,Nidorino,poison,none,61,72,57,55,55,65,"['Poison Point', 'Rivalry', 'Hustle']",0
34,Nidoking,poison,ground,81,102,77,85,75,85,"['Poison Point', 'Rivalry', 'Sheer Force']",0
35,Clefairy,normal,none,70,45,48,60,65,35,"['Cute Charm', 'Magic Guard', 'Friend Guard']",191
36,Clefable,normal,none,95,70,73,95,90,60,"['Cute Charm', 'Magic Guard', 'Unaware']",191
37,Vulpix,fire,ice,38,41,40,50,65,65,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",191
38,Ninetales,fire,ice,73,67,75,81,100,109,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",191
39,Jigglypuff,normal,none,115,45,20,45,25,20,"['Cute Charm', 'Competitive', 'Friend Guard']",191
40,Wigglytuff,normal,none,140,70,45,85,50,45,"['Cute Charm', 'Competitive', 'Frisk']",191
41,Zubat,poison,flying,40,45,35,30,40,55,"['Inner Focus', 'Infiltrator']",127
42,Golbat,poison,flying,75,80,70,65,75,90,"['Inner Focus', 'Infiltrator']",127
43,Oddish,grass,poison,45,50,55,75,65,30,"['Chlorophyll', 'Run Away']",127
44,Gloom,grass,poison,60,65,70,85,75,40,"['Chlorophyll', 'Stench']",127
45,Vileplume,grass,poison,75,80,85,110,90,50,"['Chlorophyll', 'Effect Spore']",127
46,Paras,bug,grass,35,70,55,45,55,25,"['Effect Spore', 'Dry Skin', 'Damp']",127
47,Parasect,bug,grass,60,95,80,60,80,30,"['Effect Spore', 'Dry Skin', 'Damp']",127
48,Venonat,bug,poison,60,55,50,40,55,45,"['Compoundeyes', 'Tinted Lens', 'Run Away']",127
49,Venomoth,bug,poison,70,65,60,90,75,90,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",127
50,Diglett,ground,ground,10,55,30,35,45,90,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",127
51,Dugtrio,ground,ground,35,100,60,50,70,110,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",127
52,Meowth,normal,dark,40,35,35,50,40,90,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",127
53,Persian,normal,dark,65,60,60,75,65,115,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",127
54,Psyduck,water,none,50,52,48,65,50,55,"['Damp', 'Cloud Nine', 'Swift Swim']",127
55,Golduck,water,none,80,82,78,95,80,85,"['Damp', 'Cloud Nine', 'Swift Swim']",127
56,Mankey,fighting,none,40,80,35,35,45,70,"['Vital Spirit', 'Anger Point', 'Defiant']",127
57,Primeape,fighting,none,65,105,60,60,70,95,"['Vital Spirit', 'Anger Point', 'Defiant']",127
58,Growlithe,fire,none,55,70,45,70,50,60,"['Intimidate', 'Flash Fire', 'Justified']",63
59,Arcanine,fire,none,90,110,80,100,80,95,"['Intimidate', 'Flash Fire', 'Justified']",63
60,Poliwag,water,none,40,50,40,40,40,90,"['Water Absorb', 'Damp', 'Swift Swim']",127
61,Poliwhirl,water,none,65,65,65,50,50,90,"['Water Absorb', 'Damp', 'Swift Swim']",127
62,Poliwrath,water,fighting,90,95,95,70,90,70,"['Water Absorb', 'Damp', 'Swift Swim']",127
63,Abra,psychic,none,25,20,15,105,55,90,"['Synchronize', 'Inner Focus', 'Magic Guard']",63
64,Kadabra,psychic,none,40,35,30,120,70,105,"['Synchronize', 'Inner Focus', 'Magic Guard']",63
65,Alakazam,psychic,none,55,50,65,175,105,150,"['Synchronize', 'Inner Focus', 'Magic Guard']",63
66,Machop,fighting,none,70,80,50,35,35,35,"['Guts', 'No Guard', 'Steadfast']",63
67,Machoke,fighting,none,80,100,70,50,60,45,"['Guts', 'No Guard', 'Steadfast']",63
68,Machamp,fighting,none,90,130,80,65,85,55,"['Guts', 'No Guard', 'Steadfast']",63
69,Bellsprout,grass,poison,50,75,35,70,30,40,"['Chlorophyll', 'Gluttony']",127
70,Weepinbell,grass,poison,65,90,50,85,45,55,"['Chlorophyll', 'Gluttony']",127
71,Victreebel,grass,poison,80,105,65,100,70,70,"['Chlorophyll', 'Gluttony']",127
72,Tentacool,water,poison,40,40,35,50,100,70,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",127
73,Tentacruel,water,poison,80,70,65,80,120,100,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",127
74,Geodude,rock,ground,40,80,100,30,30,20,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",127
75,Graveler,rock,ground,55,95,115,45,45,35,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",127
76,Golem,rock,ground,80,120,130,55,65,45,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",127
77,Ponyta,fire,none,50,85,55,65,65,90,"['Run Away', 'Flash Fire', 'Flame Body']",127
78,Rapidash,fire,none,65,100,70,80,80,105,"['Run Away', 'Flash Fire', 'Flame Body']",127
79,Slowpoke,water,psychic,90,65,65,40,40,15,"['Oblivious', 'Own Tempo', 'Regenerator']",127
80,Slowbro,water,psychic,95,75,180,130,80,30,"['Oblivious', 'Own Tempo', 'Regenerator']",127
81,Magnemite,electric,steel,25,35,70,95,55,45,"['Magnet Pull', 'Sturdy', 'Analytic']",none
82,Magneton,electric,steel,50,60,95,120,70,70,"['Magnet Pull', 'Sturdy', 'Analytic']",none
83,Farfetch'd,normal,flying,52,90,55,58,62,60,"['Keen Eye', 'Inner Focus', 'Defiant']",127
84,Doduo,normal,flying,35,85,45,35,35,75,"['Run Away', 'Early Bird', 'Tangled Feet']",127
85,Dodrio,normal,flying,60,110,70,60,60,110,"['Run Away', 'Early Bird', 'Tangled Feet']",127
86,Seel,water,none,65,45,55,45,70,45,"['Thick Fat', 'Hydration', 'Ice Body']",127
87,Dewgong,water,ice,90,70,80,70,95,70,"['Thick Fat', 'Hydration', 'Ice Body']",127
88,Grimer,poison,poison,80,80,50,40,50,25,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",127
89,Muk,poison,poison,105,105,75,65,100,50,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",127
90,Shellder,water,none,30,65,100,45,25,40,"['Shell Armor', 'Skill Link', 'Overcoat']",127
91,Cloyster,water,ice,50,95,180,85,45,70,"['Shell Armor', 'Skill Link', 'Overcoat']",127
92,Gastly,ghost,poison,30,35,30,100,35,80,['Levitate'],127
93,Haunter,ghost,poison,45,50,45,115,55,95,['Levitate'],127
94,Gengar,ghost,poison,60,65,80,170,95,130,['Cursed Body'],127
95,Onix,rock,ground,35,45,160,30,45,70,"['Rock Head', 'Sturdy', 'Weak Armor']",127
96,Drowzee,psychic,none,60,48,45,43,90,42,"['Insomnia', 'Forewarn', 'Inner Focus']",127
97,Hypno,psychic,none,85,73,70,73,115,67,"['Insomnia', 'Forewarn', 'Inner Focus']",127
98,Krabby,water,none,30,105,90,25,25,50,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",127
99,Kingler,water,none,55,130,115,50,50,75,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",127
100,Voltorb,electric,none,40,30,50,55,55,100,"['Soundproof', 'Static', 'Aftermath']",none
101,Electrode,electric,none,60,50,70,80,80,150,"['Soundproof', 'Static', 'Aftermath']",none
102,Exeggcute,grass,psychic,60,40,80,60,45,40,"['Chlorophyll', 'Harvest']",127
103,Exeggutor,grass,psychic,95,105,85,125,75,45,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",127
104,Cubone,ground,none,50,50,95,40,50,35,"['Rock Head', 'Lightningrod', 'Battle Armor']",127
105,Marowak,ground,fire,60,80,110,50,80,45,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",127
106,Hitmonlee,fighting,none,50,120,53,35,110,87,"['Limber', 'Reckless', 'Unburden']",0
107,Hitmonchan,fighting,none,50,105,79,35,110,76,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0
108,Lickitung,normal,none,90,55,75,60,75,30,"['Own Tempo', 'Oblivious', 'Cloud Nine']",127
109,Koffing,poison,none,40,65,95,60,45,35,['Levitate'],127
110,Weezing,poison,none,65,90,120,85,70,60,['Levitate'],127
111,Rhyhorn,ground,rock,80,85,95,30,30,25,"['Lightningrod', 'Rock Head', 'Reckless']",127
112,Rhydon,ground,rock,105,130,120,45,45,40,"['Lightningrod', 'Rock Head', 'Reckless']",127
113,Chansey,normal,none,250,5,5,35,105,50,"['Natural Cure', 'Serene Grace', 'Healer']",254
114,Tangela,grass,none,65,55,115,100,40,60,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",127
115,Kangaskhan,normal,none,105,125,100,60,100,100,"['Early Bird', 'Scrappy', 'Inner Focus']",254
116,Horsea,water,none,30,40,70,70,25,60,"['Swift Swim', 'Sniper', 'Damp']",127
117,Seadra,water,none,55,65,95,95,45,85,"['Poison Point', 'Sniper', 'Damp']",127
118,Goldeen,water,none,45,67,60,35,50,63,"['Swift Swim', 'Water Veil', 'Lightningrod']",127
119,Seaking,water,none,80,92,65,65,80,68,"['Swift Swim', 'Water Veil', 'Lightningrod']",127
120,Staryu,water,none,30,45,55,70,55,85,"['Illuminate', 'Natural Cure', 'Analytic']",none
121,Starmie,water,psychic,60,75,85,100,85,115,"['Illuminate', 'Natural Cure', 'Analytic']",none
122,Mr. Mime,psychic,none,40,45,65,100,120,90,"['Soundproof', 'Filter', 'Technician']",127
123,Scyther,bug,flying,70,110,80,55,80,105,"['Swarm', 'Technician', 'Steadfast']",127
124,Jynx,ice,psychic,65,50,35,115,95,95,"['Oblivious', 'Forewarn', 'Dry Skin']",254
125,Electabuzz,electric,none,65,83,57,95,85,105,"['Static', 'Vital Spirit']",63
126,Magmar,fire,none,65,95,57,100,85,93,"['Flame Body', 'Vital Spirit']",63
127,Pinsir,bug,none,65,155,120,65,90,105,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",127
128,Tauros,normal,none,75,100,95,40,70,110,"['Intimidate', 'Anger Point', 'Sheer Force']",0
129,Magikarp,water,none,20,10,55,15,20,80,"['Swift Swim', 'Rattled']",127
130,Gyarados,water,flying,95,155,109,70,130,81,"['Intimidate', 'Moxie']",127
131,Lapras,water,ice,130,85,80,85,95,60,"['Water Absorb', 'Shell Armor', 'Hydration']",127
132,Ditto,normal,none,48,48,48,48,48,48,"['Limber', 'Imposter']",none
133,Eevee,normal,none,55,55,50,45,65,55,"['Run Away', 'Adaptability', 'Anticipation']",31
134,Vaporeon,water,none,130,65,60,110,95,65,"['Water Absorb', 'Hydration']",31
135,Jolteon,electric,none,65,65,60,110,95,130,"['Volt Absorb', 'Quick Feet']",31
136,Flareon,fire,none,65,130,60,95,110,65,"['Flash Fire', 'Guts']",31
137,Porygon,normal,none,65,60,70,85,75,40,"['Trace', 'Download', 'Analytic']",none
138,Omanyte,rock,water,35,40,100,90,55,35,"['Swift Swim', 'Shell Armor', 'Weak Armor']",31
139,Omastar,rock,water,70,60,125,115,70,55,"['Swift Swim', 'Shell Armor', 'Weak Armor']",31
140,Kabuto,rock,water,30,80,90,55,45,55,"['Swift Swim', 'Battle Armor', 'Weak Armor']",31
141,Kabutops,rock,water,60,115,105,65,70,80,"['Swift Swim', 'Battle Armor', 'Weak Armor']",31
142,Aerodactyl,rock,flying,80,135,85,70,95,150,"['Rock Head', 'Pressure', 'Unnerve']",31
143,Snorlax,normal,none,160,110,65,65,110,30,"['Immunity', 'Thick Fat', 'Gluttony']",31
144,Articuno,ice,flying,90,85,100,95,125,85,"['Pressure', 'Snow Cloak']",none
145,Zapdos,electric,flying,90,90,85,125,90,100,"['Pressure', 'Static']",none
146,Moltres,fire,flying,90,100,90,125,85,90,"['Pressure', 'Flame Body']",none
147,Dratini,dragon,none,41,64,45,50,50,50,"['Shed Skin', 'Marvel Scale']",127
148,Dragonair,dragon,none,61,84,65,70,70,70,"['Shed Skin', 'Marvel Scale']",127
149,Dragonite,dragon,flying,91,134,95,100,100,80,"['Inner Focus', 'Multiscale']",127
150,Mewtwo,psychic,none,106,150,70,194,120,140,"['Pressure', 'Unnerve']",none
151,Mew,psychic,none,100,100,100,100,100,100,['Synchronize'],none
152,Chikorita,grass,none,45,49,65,49,65,45,"['Overgrow', 'Leaf Guard']",31
153,Bayleef,grass,none,60,62,80,63,80,60,"['Overgrow', 'Leaf Guard']",31
154,Meganium,grass,none,80,82,100,83,100,80,"['Overgrow', 'Leaf Guard']",31
155,Cyndaquil,fire,none,39,52,43,60,50,65,"['Blaze', 'Flash Fire']",31
156,Quilava,fire,none,58,64,58,80,65,80,"['Blaze', 'Flash Fire']",31
157,Typhlosion,fire,none,78,84,78,109,85,100,"['Blaze', 'Flash Fire']",31
158,Totodile,water,none,50,65,64,44,48,43,"['Torrent', 'Sheer Force']",31
159,Croconaw,water,none,65,80,80,59,63,58,"['Torrent', 'Sheer Force']",31
160,Feraligatr,water,none,85,105,100,79,83,78,"['Torrent', 'Sheer Force']",31
161,Sentret,normal,none,35,46,34,35,45,20,"['Run Away', 'Keen Eye', 'Frisk']",127
162,Furret,normal,none,85,76,64,45,55,90,"['Run Away', 'Keen Eye', 'Frisk']",127
163,Hoothoot,normal,flying,60,30,30,36,56,50,"['Insomnia', 'Keen Eye', 'Tinted Lens']",127
164,Noctowl,normal,flying,100,50,50,86,96,70,"['Insomnia', 'Keen Eye', 'Tinted Lens']",127
165,Ledyba,bug,flying,40,20,30,40,80,55,"['Swarm', 'Early Bird', 'Rattled']",127
166,Ledian,bug,flying,55,35,50,55,110,85,"['Swarm', 'Early Bird', 'Iron Fist']",127
167,Spinarak,bug,poison,40,60,40,40,40,30,"['Swarm', 'Insomnia', 'Sniper']",127
168,Ariados,bug,poison,70,90,70,60,70,40,"['Swarm', 'Insomnia', 'Sniper']",127
169,Crobat,poison,flying,85,90,80,70,80,130,"['Inner Focus', 'Infiltrator']",127
170,Chinchou,water,electric,75,38,38,56,56,67,"['Volt Absorb', 'Illuminate', 'Water Absorb']",127
171,Lanturn,water,electric,125,58,58,76,76,67,"['Volt Absorb', 'Illuminate', 'Water Absorb']",127
172,Pichu,electric,none,20,40,15,35,35,60,"['Static', 'Lightningrod']",127
173,Cleffa,normal,none,50,25,28,45,55,15,"['Cute Charm', 'Magic Guard', 'Friend Guard']",191
174,Igglybuff,normal,none,90,30,15,40,20,15,"['Cute Charm', 'Competitive', 'Friend Guard']",191
175,Togepi,normal,none,35,20,65,40,65,20,"['Hustle', 'Serene Grace', 'Super Luck']",31
176,Togetic,normal,flying,55,40,85,80,105,40,"['Hustle', 'Serene Grace', 'Super Luck']",31
177,Natu,psychic,flying,40,50,45,70,45,70,"['Synchronize', 'Early Bird', 'Magic Bounce']",127
178,Xatu,psychic,flying,65,75,70,95,70,95,"['Synchronize', 'Early Bird', 'Magic Bounce']",127
179,Mareep,electric,none,55,40,40,65,45,35,"['Static', 'Plus']",127
180,Flaaffy,electric,none,70,55,55,80,60,45,"['Static', 'Plus']",127
181,Ampharos,electric,none,90,95,105,165,110,45,"['Static', 'Plus']",127
182,Bellossom,grass,none,75,80,95,90,100,50,"['Chlorophyll', 'Healer']",127
183,Marill,water,none,70,20,50,20,50,40,"['Thick Fat', 'Huge Power', 'Sap Sipper']",127
184,Azumarill,water,none,100,50,80,60,80,50,"['Thick Fat', 'Huge Power', 'Sap Sipper']",127
185,Sudowoodo,rock,none,70,100,115,30,65,30,"['Sturdy', 'Rock Head', 'Rattled']",127
186,Politoed,water,none,90,75,75,90,100,70,"['Water Absorb', 'Damp', 'Drizzle']",127
187,Hoppip,grass,flying,35,35,40,35,55,50,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",127
188,Skiploom,grass,flying,55,45,50,45,65,80,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",127
189,Jumpluff,grass,flying,75,55,70,55,95,110,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",127
190,Aipom,normal,none,55,70,55,40,55,85,"['Run Away', 'Pickup', 'Skill Link']",127
191,Sunkern,grass,none,30,30,30,30,30,30,"['Chlorophyll', 'Solar Power', 'Early Bird']",127
192,Sunflora,grass,none,75,75,55,105,85,30,"['Chlorophyll', 'Solar Power', 'Early Bird']",127
193,Yanma,bug,flying,65,65,45,75,45,95,"['Speed Boost', 'Compoundeyes', 'Frisk']",127
194,Wooper,water,ground,55,45,45,25,25,15,"['Damp', 'Water Absorb', 'Unaware']",127
195,Quagsire,water,ground,95,85,85,65,65,35,"['Damp', 'Water Absorb', 'Unaware']",127
196,Espeon,psychic,none,65,65,60,130,95,110,"['Synchronize', 'Magic Bounce']",31
197,Umbreon,dark,none,95,65,110,60,130,65,"['Synchronize', 'Inner Focus']",31
198,Murkrow,dark,flying,60,85,42,85,42,91,"['Insomnia', 'Super Luck', 'Prankster']",127
199,Slowking,water,psychic,95,75,80,100,110,30,"['Oblivious', 'Own Tempo', 'Regenerator']",127
200,Misdreavus,ghost,none,60,60,60,85,85,85,['Levitate'],127
201,Unown,psychic,none,48,72,48,72,48,48,['Levitate'],none
202,Wobbuffet,psychic,none,190,33,58,33,58,33,"['Shadow Tag', 'Telepathy']",127
203,Girafarig,normal,psychic,70,80,65,90,65,85,"['Inner Focus', 'Early Bird', 'Sap Sipper']",127
204,Pineco,bug,none,50,65,90,35,35,15,"['Sturdy', 'Overcoat']",127
205,Forretress,bug,steel,75,90,140,60,60,40,"['Sturdy', 'Overcoat']",127
206,Dunsparce,normal,none,100,70,70,65,65,45,"['Serene Grace', 'Run Away', 'Rattled']",127
207,Gligar,ground,flying,65,75,105,35,65,85,"['Hyper Cutter', 'Sand Veil', 'Immunity']",127
208,Steelix,steel,ground,75,125,230,55,95,30,"['Rock Head', 'Sturdy', 'Sheer Force']",127
209,Snubbull,normal,none,60,80,50,40,40,30,"['Intimidate', 'Run Away', 'Rattled']",191
210,Granbull,normal,none,90,120,75,60,60,45,"['Intimidate', 'Quick Feet', 'Rattled']",191
211,Qwilfish,water,poison,65,95,85,55,55,85,"['Poison Point', 'Swift Swim', 'Intimidate']",127
212,Scizor,bug,steel,70,150,140,65,100,75,"['Swarm', 'Technician', 'Light Metal']",127
213,Shuckle,bug,rock,20,10,230,10,230,5,"['Sturdy', 'Gluttony', 'Contrary']",127
214,Heracross,bug,fighting,80,185,115,40,105,75,"['Swarm', 'Guts', 'Moxie']",127
215,Sneasel,dark,ice,55,95,55,35,75,115,"['Inner Focus', 'Keen Eye', 'Pickpocket']",127
216,Teddiursa,normal,none,60,80,50,50,50,40,"['Pickup', 'Quick Feet', 'Honey Gather']",127
217,Ursaring,normal,none,90,130,75,75,75,55,"['Guts', 'Quick Feet', 'Unnerve']",127
218,Slugma,fire,none,40,40,40,70,40,20,"['Magma Armor', 'Flame Body', 'Weak Armor']",127
219,Magcargo,fire,rock,60,50,120,90,80,30,"['Magma Armor', 'Flame Body', 'Weak Armor']",127
220,Swinub,ice,ground,50,50,40,30,30,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']",127
221,Piloswine,ice,ground,100,100,80,60,60,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']",127
222,Corsola,water,rock,65,55,95,65,95,35,"['Hustle', 'Natural Cure', 'Regenerator']",191
223,Remoraid,water,none,35,65,35,65,35,65,"['Hustle', 'Sniper', 'Moody']",127
224,Octillery,water,none,75,105,75,105,75,45,"['Suction Cups', 'Sniper', 'Moody']",127
225,Delibird,ice,flying,45,55,45,65,45,75,"['Vital Spirit', 'Hustle', 'Insomnia']",127
226,Mantine,water,flying,85,40,70,80,140,70,"['Swift Swim', 'Water Absorb', 'Water Veil']",127
227,Skarmory,steel,flying,65,80,140,40,70,70,"['Keen Eye', 'Sturdy', 'Weak Armor']",127
228,Houndour,dark,fire,45,60,30,80,50,65,"['Early Bird', 'Flash Fire', 'Unnerve']",127
229,Houndoom,dark,fire,75,90,90,140,90,115,"['Early Bird', 'Flash Fire', 'Unnerve']",127
230,Kingdra,water,dragon,75,95,95,95,95,85,"['Swift Swim', 'Sniper', 'Damp']",127
231,Phanpy,ground,none,90,60,60,40,40,40,"['Pickup', 'Sand Veil']",127
232,Donphan,ground,none,90,120,120,60,60,50,"['Sturdy', 'Sand Veil']",127
233,Porygon2,normal,none,85,80,90,105,95,60,"['Trace', 'Download', 'Analytic']",none
234,Stantler,normal,none,73,95,62,85,65,85,"['Intimidate', 'Frisk', 'Sap Sipper']",127
235,Smeargle,normal,none,55,20,35,20,45,75,"['Own Tempo', 'Technician', 'Moody']",127
236,Tyrogue,fighting,none,35,35,35,35,35,35,"['Guts', 'Steadfast', 'Vital Spirit']",0
237,Hitmontop,fighting,none,50,95,95,35,110,70,"['Intimidate', 'Technician', 'Steadfast']",0
238,Smoochum,ice,psychic,45,30,15,85,65,65,"['Oblivious', 'Forewarn', 'Hydration']",254
239,Elekid,electric,none,45,63,37,65,55,95,"['Static', 'Vital Spirit']",63
240,Magby,fire,none,45,75,37,70,55,83,"['Flame Body', 'Vital Spirit']",63
241,Miltank,normal,none,95,80,105,40,70,100,"['Thick Fat', 'Scrappy', 'Sap Sipper']",254
242,Blissey,normal,none,255,10,10,75,135,55,"['Natural Cure', 'Serene Grace', 'Healer']",254
243,Raikou,electric,none,90,85,75,115,100,115,"['Pressure', 'Inner Focus']",none
244,Entei,fire,none,115,115,85,90,75,100,"['Pressure', 'Inner Focus']",none
245,Suicune,water,none,100,75,115,90,115,85,"['Pressure', 'Inner Focus']",none
246,Larvitar,rock,ground,50,64,50,45,50,41,"['Guts', 'Sand Veil']",127
247,Pupitar,rock,ground,70,84,70,65,70,51,['Shed Skin'],127
248,Tyranitar,rock,dark,100,164,150,95,120,71,"['Sand Stream', 'Unnerve']",127
249,Lugia,psychic,flying,106,90,130,90,154,110,"['Pressure', 'Multiscale']",none
250,Ho-Oh,fire,flying,106,130,90,110,154,90,"['Pressure', 'Regenerator']",none
251,Celebi,psychic,grass,100,100,100,100,100,100,['Natural Cure'],none
252,Treecko,grass,none,40,45,35,65,55,70,"['Overgrow', 'Unburden']",31
253,Grovyle,grass,none,50,65,45,85,65,95,"['Overgrow', 'Unburden']",31
254,Sceptile,grass,none,70,110,75,145,85,145,"['Overgrow', 'Unburden']",31
255,Torchic,fire,none,45,60,40,70,50,45,"['Blaze', 'Speed Boost']",31
256,Combusken,fire,fighting,60,85,60,85,60,55,"['Blaze', 'Speed Boost']",31
257,Blaziken,fire,fighting,80,160,80,130,80,100,"['Blaze', 'Speed Boost']",31
258,Mudkip,water,none,50,70,50,50,50,40,"['Torrent', 'Damp']",31
259,Marshtomp,water,ground,70,85,70,60,70,50,"['Torrent', 'Damp']",31
260,Swampert,water,ground,100,150,110,95,110,70,"['Torrent', 'Damp']",31
261,Poochyena,dark,none,35,55,35,30,30,35,"['Run Away', 'Quick Feet', 'Rattled']",127
262,Mightyena,dark,none,70,90,70,60,60,70,"['Intimidate', 'Quick Feet', 'Moxie']",127
263,Zigzagoon,normal,none,38,30,41,30,41,60,"['Pickup', 'Gluttony', 'Quick Feet']",127
264,Linoone,normal,none,78,70,61,50,61,100,"['Pickup', 'Gluttony', 'Quick Feet']",127
265,Wurmple,bug,none,45,45,35,20,30,20,"['Shield Dust', 'Run Away']",127
266,Silcoon,bug,none,50,35,55,25,25,15,['Shed Skin'],127
267,Beautifly,bug,flying,60,70,50,100,50,65,"['Swarm', 'Rivalry']",127
268,Cascoon,bug,none,50,35,55,25,25,15,['Shed Skin'],127
269,Dustox,bug,poison,60,50,70,50,90,65,"['Shield Dust', 'Compoundeyes']",127
270,Lotad,water,grass,40,30,30,40,50,30,"['Swift Swim', 'Rain Dish', 'Own Tempo']",127
271,Lombre,water,grass,60,50,50,60,70,50,"['Swift Swim', 'Rain Dish', 'Own Tempo']",127
272,Ludicolo,water,grass,80,70,70,90,100,70,"['Swift Swim', 'Rain Dish', 'Own Tempo']",127
273,Seedot,grass,none,40,40,50,30,30,30,"['Chlorophyll', 'Early Bird', 'Pickpocket']",127
274,Nuzleaf,grass,dark,70,70,40,60,40,60,"['Chlorophyll', 'Early Bird', 'Pickpocket']",127
